idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs
Sexton Blake	["Cockney%20rhyming%20slang%20for%20fake."]	["That%20picture%20was%20supposed%20to%20be%20by%20Monet%20but%20there%20was%20a%20mobile%20phone%20in%20the%20background%20-%20I%20knew%20right%20away%20it%20was%20a%20sexton."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/sexton-blake.mp3	name,cockney_rhyming_slang	sexton blake
Shoot down in flames	["Destroy%20an%20argument%20or%20theory."]	["They%20sent%20their%20perpetual%20motion%20ideas%20to%20the%20Royal%20Society.%20Of%20course%2C%20it%20was%20all%20nonsense%20and%20they%20were%20shot%20down%20in%20flames."]	Britain, 1940s. An allusion to fighter planes being shot down.	Worldwide, although rather old-fashioned.	https://www.phrases.org.uk/idioms/audio/shoot-down-in-flames.mp3	conflict,hyperbole	shoot down in flames
Shoot straight	["To%20talk%20or%20deal%20honestly."]	["I%27ve%20worked%20with%20Jabril%20for%20twenty%20years%20and%20never%20had%20reason%20to%20doubt%20his%20word.%20He%27s%20a%20real%20straight-shooter."]	USA, 1930s.	Mostly USA.	https://www.phrases.org.uk/idioms/audio/shoot-straight.mp3	honesty,america	shoot straight
Shoot through	["To%20leave%20or%20abscond."]	["When%20we%20got%20up%20this%20morning%20Jeff%20had%20gone.%20He%20shot%20through%20without%20a%20word."]	Australia, 1940s.	Mostly Australia and New Zealand.	https://www.phrases.org.uk/idioms/audio/shoot-through.mp3	australian_origin	shoot through
shoot yourself in the foot	["If%20you%20shoot%20yourself%20in%20the%20foot%2C%20you%20harm%20yourself%20in%20some%20way%20by%20doing%20something%20stupid%20or%20making%20a%20silly%20mistake.",""]	["Why%20does%20Kerry%20always%20shoot%20herself%20in%20the%20foot%20by%20saying%20the%20wrong%20thing%3F","The%20Minister%20of%20Agriculture%20shot%20himself%20in%20the%20foot%20by%20saying%20that%20farmers%20couldn%27t%20understand%20economics%20because%20they%20weren%27t%20educated.%20He%20resigned%20soon%20after."]				body,s	shoot yourself in the foot
Shovel ready	["A%20building%20project%20in%20which%20all%20the%20preliminaries%20have%20been%20arranged."]	["Planning%20consent%20is%20done.%20The%20site%20is%20cleared.%20The%20project%20is%20shovel%20ready."]	USA, late 20th century.	Mostly USA and Britain.	https://www.phrases.org.uk/idioms/audio/shovel-ready.mp3	building,america	shovel ready
show your true colours | show your true colors	["You%20show%20your%20true%20colours%20if%20you%20show%20what%20you%27re%20really%20like%2C%20or%20you%20reveal%20your%20true%20character.",""]	["Bob%20always%20acts%20like%20he%27s%20a%20strong%2C%20brave%20guy%2C%20but%20when%20the%20hurricane%20hit%20he%20showed%20his%20true%20colors.%20He%20was%20too%20scared%20to%20go%20check%20on%20old%20Mrs%20Flowers%2C%20our%20next-door%20neighbour.","The%20players%20showed%20their%20true%20colours%20when%20they%20came%20back%20from%20three%20goals%20down%20to%20win%20the%20match."]				colours,s	show your true colours,show your true colors
sick as a dog	["If%20you%27re%20as%20sick%20as%20a%20dog%2C%20you%27re%20very%20sick.",""]	["I%27ve%20been%20as%20sick%20as%20a%20dog%20since%20I%20ate%20those%20sausage%20rolls.","Helen%20hates%20to%20miss%20work%2C%20so%20she%20really%20must%20be%20sick%20as%20a%20dog%20if%20she%20isn%27t%20here."]				animals,health,s	sick as a dog
Side boob	["The%20side%20of%20a%20female%20breast%20revealed%20by%20skimpy%20clothing."]	["That%20T-shirt%20is%20way%20too%20loose%20on%20Jane.%20She%27s%20showing%20acres%20of%20side%20boob."]	Britain, late 20th century.	Worldwide, amongst the younger generations.	https://www.phrases.org.uk/idioms/audio/side-boob.mp3	the_human_body,clothes	side boob
Silver bullet	["A%20simple%20and%20seeming%20effortless%20solution%20to%20a%20difficult%20problem."]	["We%20are%20thousands%20in%20debt.%20That%20loan%20seemed%20to%20be%20the%20silver%20bullet%20that%20would%20sort%20out%20our%20problems%2C%20but%20it%20really%20wasn%27t."]	USA, 1950s.	Worldwide.	https://www.phrases.org.uk/idioms/audio/silver-bullet.mp3	colour,america	silver bullet
Silver fox	["A%20handsome%20grey-haired%20man."]	["Richard%20Gere%20used%20to%20be%20the%20typical%20matinee%20idol.%20These%20days%20he%27s%20a%20real%20silver%20fox."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/silver-fox.mp3	colour,animals	silver fox
Silver surfer	["An%20older%20person%20who%20uses%20the%20World%20Wide%20Web."]	["Granny%20didn%27t%20want%20the%20iPad%20we%20bought%20her%20but%20since%20we%20showed%20her%20how%20to%20Skype%20the%20kids%20in%20Australia%20she%27s%20become%20a%20real%20silver%20surfer."]	USA, late 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/silver-surfer.mp3	colour,technology,america	silver surfer
Silver threads amongst the gold	["Blonde%20hair%20that%20is%20turning%20grey."]	["Thirty%20years%20ago%20Janine%20had%20strawberry%20blonde%20hair.%20These%20days%20she%27s%20going%20grey%2C%20or%20as%20she%20prefers%20to%20say%20silver%20threads%20among%20the%20gold."]		Worldwide, but rather old-fashioned.	https://www.phrases.org.uk/idioms/audio/silver-threads-amongst-the-gold.mp3	the_human_body,colour,euphemism	silver threads amongst the gold
Silver tongued	["Eloquent%20or%20persuasive%20manner%20of%20speech."]	["Reagan%20didn%27t%20always%20have%20much%20in%20the%20way%20of%20policies%20but%20he%20certainly%20could%20hold%20a%20crowd%20with%20his%20silver%20tongued%20speeches."]	Britain, 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/silver-tongued.mp3	language,the_human_body,colour	silver tongued
Sit tight	["Wait%20and%20take%20do%20nothing%20until%20the%20time%20is%20right%20for%20action."]	["I%20know%20you%20hoped%20to%20be%20promoted%20by%20now.%20Don%27t%20worry%20though.%20It%20will%20happen%3B%20just%20sit%20tight%2C%20do%20your%20job%20well%20and%20wait."]	Britain, 18th century. Probably an allusion to birds sitting quiet and still when threatened by a predator.	Worldwide.	https://www.phrases.org.uk/idioms/audio/sit-tight.mp3	patience	sit tight
Sixth sense	["An%20imaginary%20intuitive%20facility."]	["My%20sixth%20sense%20is%20telling%20me%20that%20I%27m%20going%20to%20meet%20my%20perfect%20partner%20today."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/sixth-sense.mp3	trickery,number	sixth sense
skate on thin ice	["If%20you%27re%20skating%20on%20thin%20ice%2C%20you%27re%20doing%20something%20risky%2C%20or%20you%27re%20in%20a%20situation%20that%20could%20quickly%20become%20dangerous.",""]	["Don%27t%20you%20think%20you%27ll%20be%20skating%20on%20thin%20ice%20if%20you%20go%20to%20the%20U.S.%20without%20getting%20health%20insurance%3F%20Medical%20care%20is%20incredibly%20expensive%20there.","Kenny%27s%20skating%20on%20thin%20ice.%20He%27s%20already%20on%20parole%2C%20and%20yet%20he%27s%20still%20driving%20around%20without%20a%20licence."]	Probably related to the fact that skating on an ice-covered lake can be very dangerous if the ice is thin in places. It could easily break under the weight of a person, and the person could fall into the ice-cold water and drown.			s,sports	skate on thin ice
Skid row	["The%20rundown%20area%20of%20a%20city%20inhabited%20by%20the%20destitute."]	["Lost%20my%20job%2C%20Jill%20left%20me%2C%20started%20drinking%20-%20pretty%20soon%20I%20was%20on%20skid%20row."]	USA, early 20th century.	Worldwide, but most common in the USA.	https://www.phrases.org.uk/idioms/audio/skid-row.mp3	money,america	skid row
Smell a rat	["To%20begin%20to%20suspect%20that%20things%20aren%27t%20as%20they%20should%20be."]	["It%20was%20when%20he%20said%20I%20needed%20to%20email%20him%20my%20bank%20details%20that%20I%20began%20to%20smell%20a%20rat."]	Britain, 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/smell-a-rat.mp3	trickery,animals	smell a rat
Smell something fishy	["Detect%20that%20something%20isn%27t%20as%20it%20should%20be."]	["He%27s%20always%20hanging%20around%20outside%20the%20women%27s%20dorm%20with%20a%20camera.%20It%20looks%20a%20bit%20fishy%20to%20me."]	Britain, 19th century. Deriving from an allusion to things that are 'as slippery as a fish'.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/smell-something-fishy.mp3	trickery,animals	smell something fishy
Sniff test	["Sniff%20an%20item%20of%20clothing%20%28or%20food%29%20to%20check%20if%20it%20might%20be%20suitable%20to%20wear%20%28or%20eat%29."]	["I%27ve%20worn%20that%20shirt%20before%20but%20when%20I%20gave%20the%20underarms%20the%20sniff%20test%20I%20thought%20I%27d%20be%20okay%20to%20wear%20it%20again."]	Late 20th century.	Mostly Britain, but becoming more common elsewhere.	https://www.phrases.org.uk/idioms/audio/sniff-test.mp3	clothes	sniff test
snowed under	["If%20you%20are%20snowed%20under%20you%20have%20so%20much%20to%20do%20that%20you%27re%20having%20trouble%20doing%20it%20all.",""]	["I%20was%20so%20snowed%20under%20with%20work%20today%20that%20I%20didn%27t%20even%20have%20time%20for%20lunch.","If%20I%20don%27t%20deal%20with%20these%20orders%20they%27ll%20build%20up%20and%20I%27ll%20soon%20be%20snowed%20under%20again."]				s,weather	snowed under
so far, so good	["You%20can%20say%20%22so%20far%2C%20so%20good%22%20when%20you%27re%20in%20the%20middle%20of%20doing%20something%2C%20and%20everything%20has%20been%20going%20well.",""]	["Tom%3A%20%22How%27s%20the%20new%20job%20going%3F%22%20Jerry%3A%20%22So%20far%2C%20so%20good.%22","At%20half-time%2C%20the%20coach%20looked%20at%20his%20players%20and%20said%2C%20%22So%20far%2C%20so%20good%2C%20but%20the%20job%27s%20not%20done%20yet.%20Get%20back%20out%20there%20and%20fight%20till%20the%20end.%22"]				s	so far, so good
Son of a gun	["A%20rogue."]	["He%20was%20always%20up%20to%20mischief%20at%20school%20-%20the%20real%20class%20son%20of%20a%20gun."]	Coined in the 1800s, in either the USA or Britain - no one is sure about the origin.	Worldwide, but rather old-fashioned.	https://www.phrases.org.uk/idioms/audio/son-of-a-gun.mp3	family	son of a gun
Sparrow fart	["Jokey%20term%20for%20the%20early%20morning."]	["I%20know%20we%20have%20to%20get%20the%20early%20flight%20but%20isn%27t%20","m%20too%20soon%20to%20be%20getting%20up%3F%20It%20isn%27t%20even%20sparrow%20fart%20yet."]	Britain, 19th century. Originally an example of rural slang.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/sparrow-fart.mp3	animals,time,slang	sparrow fart
speak your mind	["If%20you%20speak%20your%20mind%2C%20you%20say%20what%20you%20really%20feel%20about%20something%2C%20or%20what%20you%20really%20think.",""]	["Kerry%20decided%20it%20was%20time%20to%20speak%20her%20mind%20and%20tell%20Steve%20what%20she%20really%20thought%20about%20his%20decision.","Joel%20comes%20from%20New%20York%2C%20so%20he%20nearly%20always%20speaks%20his%20mind%2C%20but%20Sayoko%20comes%20from%20Tokyo%2C%20so%20she%20almost%20never%20speaks%20her%20mind.%20They%20come%20from%20very%20different%20cultures."]				s	speak your mind
Spitting image	["The%20exact%20likeness."]	["I%20could%20have%20picked%20them%20out%20as%20father%20and%20son%20in%20a%20football%20crowd.%20They%20were%20the%20spitting%20image%20of%20each%20other."]	Britain - date uncertain.	Worldwide.	https://www.phrases.org.uk/idioms/audio/spitting-image.mp3	family	spitting image
Spoiler alert	["Said%2C%20or%20printed%2C%20as%20a%20warning%20that%20the%20following%20will%20give%20away%20the%20ending%20or%20important%20plot%20development%20of%20a%20drama."]	["I%27ve%20just%20been%20to%20see%20Shakespeare%27s%20Othello.%20Spoiler%20alert%20-%20Othello%20dies."]	USA, 1980s.	Worldwide, mostly by the young.	https://www.phrases.org.uk/idioms/audio/spoiler-alert.mp3	conflict,america	spoiler alert
Stab someone in the back	["Hurt%20someone%20who%20was%20close%20to%20us%20by%20betraying%20them%20secretly%20and%20breaking%20their%20trust."]	["All%20my%20friends%20promised%20to%20vote%20for%20me%20but%20when%20the%20election%20came%20and%20I%20got%20no%20votes%20I%20knew%20I%27d%20been%20stabbed%20in%20the%20back."]	First seen in James Joyce's Ulysees, 1922.	Worldwide.	https://www.phrases.org.uk/idioms/audio/stab-someone-in-the-back.mp3	the_human_body,conflict	stab someone in the back
start from scratch	["If%20you%20start%20from%20scratch%2C%20you%20begin%20something%20from%20the%20very%20beginning%20without%20using%20anything%20else%20as%20a%20starting%20point.",""]	["Our%20website%20is%20terrible%2C%20so%20we%20should%20get%20rid%20of%20it%20altogether%20and%20start%20again%20from%20scratch.","I%20was%20being%20interviewed%20for%20a%20radio%20show%2C%20but%20the%20guy%20forgot%20to%20turn%20on%20the%20recorder.%20He%20realised%20after%20about%20ten%20minutes%2C%20so%20we%20had%20to%20start%20again%20from%20scratch."]				s	start from scratch
state-of-the-art	["If%20something%20is%20state-of-the-art%2C%20it%27s%20the%20latest%20and%20best%20example%20of%20something%2C%20or%20it%20shows%20the%20most%20recent%20developments%20in%20its%20field.",""]	["Have%20you%20seen%20Ian%27s%20new%20phone%3F%20He%20says%20it%27s%20got%20state-of-the-art%20technology%20you%20can%20only%20get%20in%20that%20model.","I%20never%20buy%20state-of-the-art%20products%20because%20they%27re%20always%20so%20expensive.%20I%20just%20wait%20six%20months%20and%20get%20the%20same%20thing%20for%20a%20lot%20less."]				s	state-of-the-art
Steal someones thunder	["Take%20the%20credit%20for%20something%20someone%20else%20did."]	["Joseph%20Swan%20had%20the%20first%20working%20lightbulb%20but%20Edison%20filed%20the%20first%20patent%20and%20effectively%20stole%20Swan%27s%20thunder."]	Britain, early 18th century. From a reference to the machines used in theatres to make the sound of thunder.	Worldwide.	https://www.phrases.org.uk/idioms/audio/steal-someones-thunder.mp3	theatre,nature	steal someones thunder
steer clear of	["If%20you%20steer%20clear%20of%20something%2C%20you%20don%27t%20go%20near%20it%20because%20it%20could%20harm%20you%20or%20cause%20you%20a%20problem.",""]	["My%20doctor%20said%20I%20should%20steer%20clear%20of%20spicy%20foods%20until%20I%20feel%20better.","I%27d%20steer%20clear%20of%20that%20guy%20if%20I%20were%20you.%20He%27s%20a%20bit%20crazy%20and%20he%27s%20always%20looking%20for%20a%20fight%20with%20someone."]	Metaphorical, and probably related to the steering of ships. The instruction "steer clear of that ship" meant to steer one ship away from another ship in order to avoid getting too close.			s,transport	steer clear of
Step up to the mark	["Mark%20yourself%20ready%20to%20take%20responsibility."]	["If%20you%20really%20want%20to%20top%20job%20you%20need%20to%20step%20up%20to%20the%20mark%20and%20show%20the%20board%20what%20you%20are%20worth."]	Britain, 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/step-up-to-the-mark.mp3	effort	step up to the mark
stick out like a sore thumb | stand out like a	["If%20someone%20sticks%20out%20like%20a%20sore%20thumb%2C%20or%20stands%20out%20like%20a%20sore%20thumb%2C%20everyone%20notices%20them%20because%20they%27re%20not%20the%20same%20as%20the%20people%20around%20them.",""]	["Kenny%20stuck%20out%20like%20a%20sore%20thumb%20at%20the%20party.%20He%20was%20the%20only%20person%20wearing%20a%20suit%20and%20a%20tie.","When%20I%20was%20in%20the%20Nigerian%20countryside%20I%20stood%20out%20like%20a%20sore%20thumb.%20I%20was%20the%20only%20white%20person%20around."]				body,health,s	stick out like a sore thumb,stand out like a
Stitch up	["%20Put%20someone%20in%20difficulty%2C%20often%20by%20making%20it%20appear%20that%20they%20are%20to%20blame%20for%20a%20misdemeanour.%20","%20Repair%20with%20needle%20and%20thread."]	["%20When%20she%20hid%20the%20money%20she%27d%20stolen%20in%20my%20jacket%20she%20really%20stitched%20me%20up%20for%20the%20crime.%20","%20those%20jeans%20are%20ripped.%20Pass%20them%20over%20and%20I%27ll%20stitch%20them%20up%20for%20you."]	1. Britain, 20th century. 2. Britain, 16th century.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/stitch-up.mp3	trickery	stitch up
Straight from the horses mouth	["Heard%20from%20the%20authoritative%20source."]	["There%27s%20going%20to%20be%20an%20election%20in%20May.%20My%20sister%20is%20the%20Prime%20Ministers%20secretary%20so%20I%20got%20that%20straight%20from%20the%20horses%20mouth."]	Uncertain origin, probably 20th century USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/straight-from-the-horses-mouth.mp3	animals,honesty,luck,secrets,america	straight from the horses mouth
Stranger things have happened	["Said%20when%20the%20feasibility%20of%20some%20unlikely%20event%20is%20questioned."]	["Jamie%20says%20he%20just%20saw%20a%20chimp%20waiting%20at%20the%20bus%20stop.%20I%20don%27t%20really%20believe%20him%2C%20but%20then%2C%20stranger%20things%20have%20happened."]		Mostly Britain.	https://www.phrases.org.uk/idioms/audio/stranger-things-have-happened.mp3	surprise,luck	stranger things have happened
Suck it up	["Accept%20a%20bad%20situation."]	["Listen%20Jedd%2C%20it%27s%20over%2C%20Janine%20will%20never%20be%20coming%20back.%20Suck%20it%20up%20and%20move%20on."]	USA, 20th century.	More common in the USA than elsewhere, but spreading Worldwide.	https://www.phrases.org.uk/idioms/audio/suck-it-up.mp3	conflict,america	suck it up
Swing by	["Drop%20in%20for%20a%20visit."]	["Come%20and%20join%20us%20-%20well%20be%20down%20at%20the%20pub%20until%20","m.%20Why%20don%27t%20you%20swing%20by%20around%20","%3F"]	Origin uncertain but possibly an allusion to a 'swing-by' which is a use of gravity by a spacecraft to change course.	Worldwide.	https://www.phrases.org.uk/idioms/audio/swing-by.mp3	location	swing by
Swipe right	["%28On%20the%20dating%20app%20Tinder%29%20to%20indicate%20that%20you%20find%20someone%20unattractive%20by%20dragging%20one%27s%20finger%20to%20the%20right%2C%20across%20their%20screen%20image."]	["I%20really%20wanted%20to%20go%20out%20with%20Annette%20but%20she%20wasn%27t%20interested%2C%20she%20just%20swiped%20me%20right."]	Early 21st century - from the widespread use of Tinder.	Worldwide.	https://www.phrases.org.uk/idioms/audio/swipe-right.mp3		swipe right
Syrup of figs	["Cockney%20rhyming%20slang%20for%20wig."]	["That%20thatch%20on%20Donald%20Trump%27s%20head%20-%20it%20has%20to%20be%20a%20syrup."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/syrup-of-figs.mp3	food,cockney_rhyming_slang,hair	syrup of figs
take a break	["If%20you%20take%20a%20break%2C%20you%20have%20a%20short%20rest%20while%20doing%20something%20like%20working%20or%20playing%20sport.",""]	["Let%27s%20take%20a%20break%20for%20ten%20minutes%2C%20and%20when%20we%20come%20back%20we%20can%20start%20a%20new%20section.","What%20do%20you%20do%20when%20you%20take%20a%20break%3F%20I%20hope%20you%20don%27t%20go%20outside%20and%20have%20a%20cigarette%21"]				t	take a break
Take a butchers	["Cockney%20rhyming%20slang%20for%20look."]	["There%27s%20a%20triple%20rainbow%20over%20there.%20If%20you%20don%27t%20believe%20me%20take%20a%20butchers%20yourself."]	Britain.	Mainly Britain	https://www.phrases.org.uk/idioms/audio/take-a-butchers.mp3	cockney_rhyming_slang	take a butchers
Take a raincheck	["An%20offer%20that%20is%20declined%20now%20but%20may%20be%20reconsidered%20later."]	["I%20can%27t%20go%20bowling%20tonight%2C%20I%27ve%20work%20to%20finish%2C%20but%20I%27ll%20take%20a%20raincheck%20for%20next%20time."]	USA, 19th century. A reference to the tickets given at rained-off sports games to allow the customer to return at a later date.	Mostly USA.	https://www.phrases.org.uk/idioms/audio/take-a-raincheck.mp3	america	take a raincheck
take for granted	["We%20can%20say%20somebody%20takes%20something%20for%20granted%20if%20they%20assume%20it%27ll%20always%20be%20there%20for%20them%2C%20and%20they%20don%27t%20seem%20thankful%20for%20it.",""]	["She%20had%20always%20taken%20her%20family%27s%20help%20for%20granted%2C%20and%20was%20shocked%20when%20told%20they%20wouldn%27t%20help%20her%20out%20this%20time.","Rosa%20says%20her%20children%20take%20her%20for%20granted%20and%20never%20thank%20her%20for%20all%20the%20things%20she%20does%20for%20them."]				t	take for granted
take into account	["If%20you%20take%20something%20or%20someone%20into%20account%2C%20you%20consider%20them%20when%20making%20a%20decision%20or%20making%20plans.",""]	["Don%27t%20forget%20to%20take%20the%20traffic%20into%20account%20when%20you%20decide%20what%20time%20to%20leave%20for%20the%20airport.","The%20judge%20said%20she%27d%20take%20into%20account%20his%20health%20problems%20when%20she%20sentenced%20him%20for%20the%20crime."]				t	take into account
take part	["If%20you%20take%20part%20in%20something%2C%20you%20join%20in%20or%20play%20a%20role%20in%20it.",""]	["You%20don%27t%20have%20to%20take%20part%20in%20the%20competition.%20You%20can%20just%20watch%20if%20you%20like.","Everyone%20who%27s%20taking%20part%20in%20the%20meeting%20has%20to%20go%20through%20a%20security%20check."]				t	take part
take something the wrong way	["If%20you%20take%20something%20the%20wrong%20way%2C%20you%20misunderstand%20what%20someone%20says%20and%20think%20they%27re%20being%20critical%20when%20they%20aren%27t.",""]	["Be%20careful%20when%20talking%20to%20teenagers%20as%20they%20can%20be%20very%20sensitive%20and%20take%20things%20the%20wrong%20way%20easily.","Jodie%27s%20teacher%20said%20teaching%20her%20was%20a%20challenge.%20He%20meant%20that%20she%20was%20very%20smart%20and%20it%20was%20difficult%20to%20keep%20her%20interested%20because%20she%20learns%20quicker%20than%20her%20classmates.%20But%20Jodie%20took%20it%20the%20wrong%20way%20and%20thought%20he%20meant%20she%20was%20stupid%20and%20difficult%20to%20teach."]				t	take something the wrong way
take the bull by the horns	["If%20you%20take%20the%20bull%20by%20the%20horns%2C%20you%20deal%20with%20a%20problem%20or%20a%20challenge%20in%20a%20direct%20and%20fearless%20way.",""]	["Pauline%20wasn%27t%20happy%20with%20the%20manager%27s%20decision%2C%20so%20she%20took%20the%20bull%20by%20the%20horns%20and%20demanded%20to%20see%20him%20in%20order%20to%20discuss%20the%20matter.","The%20magazine%27s%20sales%20were%20falling%2C%20so%20the%20owner%20took%20the%20bull%20by%20the%20horns%20and%20replaced%20the%20editor%2C%20had%20the%20layout%20redesigned%2C%20and%20brought%20in%20new%20writers."]				animals,t	take the bull by the horns
take the mickey | mick out of someone	["If%20you%27re%20taking%20the%20mickey%20out%20of%20someone%2C%20or%20taking%20the%20mick%20out%20of%20them%2C%20you%27re%20making%20fun%20of%20them%20or%20copying%20their%20behaviour%20for%20a%20laugh.",""]	["When%20I%20moved%20to%20the%20U.S.%2C%20I%20upset%20a%20few%20people%20by%20taking%20the%20mickey%20out%20of%20them.%20They%20didn%27t%20understand%20that%20it%20was%20just%20for%20fun%2C%20and%20I%20wasn%27t%20being%20mean%20to%20them.","Taking%20the%20mick%20out%20of%20someone%20can%20help%20them%20to%20learn%20how%20not%20to%20take%20themselves%20too%20seriously."]				british,t	take the mickey,mick out of someone
take the plunge	["If%20you%20take%20the%20plunge%2C%20you%20decide%20to%20do%20something%20you%20really%20want%20to%20do%20even%20though%20it%27s%20risky%20and%20possibly%20dangerous.",""]	["I%27d%20always%20wanted%20to%20be%20a%20writer%2C%20so%20when%20I%20was%20thirty%20I%20took%20the%20plunge.%20I%20quit%20my%20nine-to-five%20job%20and%20worked%20full-time%20on%20my%20novel%20instead.","Bill%20decided%20to%20take%20the%20plunge%20and%20put%20all%20his%20money%20into%20the%20stock%20market%20-%20just%20before%20the%20market%20crashed.%20Now%20he%20wishes%20he%27d%20left%20it%20in%20the%20bank."]				t	take the plunge
Take with a grain of salt	["Don%27t%20take%20what%20someone%20says%20too%20seriously%20-%20the%20the%20implication%20that%20it%20isn%27t%20true."]	["She%20says%20that%20she%27s%20Prince%20Charles%27%20niece.%20I%27d%20take%20that%20with%20a%20grain%20of%20salt%20if%20I%20were%20you."]	Britain, 17th century. From a Latin source, possibly Pliny.	Worldwide.	https://www.phrases.org.uk/idioms/audio/take-with-a-grain-of-salt.mp3	food	take with a grain of salt
take with a grain of salt | take with a pinch o	["If%20you%20take%20what%20someone%20says%20with%20a%20grain%20of%20salt%2C%20or%20with%20a%20pinch%20of%20salt%2C%20you%20have%20doubts%20about%20the%20truth%20or%20accuracy%20of%20what%20they%20say.",""]	["Uncle%20Bill%20tells%20some%20great%20stories%2C%20but%20we%20take%20what%20he%20says%20with%20a%20grain%20of%20salt%20because%20he%20sometimes%20exaggerates%20or%20makes%20things%20up.","Sue%20says%20the%20internet%20is%20great%2C%20but%20she%20takes%20a%20lot%20of%20the%20information%20there%20with%20a%20pinch%20of%20salt%20until%20she%20sees%20the%20same%20information%20on%20a%20few%20different%20websites."]				food,t	take with a grain of salt,take with a pinch o
Talk of the devil!	["Said%20when%20someone%20that%20you%20have%20just%20been%20talking%20about%20arrives."]	["Did%20you%20know%20that%20Jim%20is%20gay%3F%20Oh%2C%20talk%20of%20the%20devil%20-%20here%20he%20is."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/talk-of-the-devil.mp3	religion,language	talk of the devil
talk through your hat	["If%20you%27re%20talking%20through%20your%20hat%2C%20you%27re%20talking%20about%20something%20without%20knowing%20much%20about%20it%2C%20or%20you%20claim%20something%20is%20true%20when%20it%20isn%27t.",""]	["Evan%20says%20that%20quantum%20physics%20proves%20that%20space%20and%20time%20don%27t%20really%20exist%2C%20but%20Kathy%20says%20he%27s%20talking%20through%20his%20hat.","I%20proved%20that%20George%20was%20talking%20through%20his%20hat%20by%20checking%20on%20the%20internet%20to%20find%20out%20if%20what%20he%20said%20is%20true%20-%20and%20it%20isn%27t."]				clothing,t	talk through your hat
talk turkey	["If%20you%20talk%20turkey%2C%20you%20discuss%20something%20seriously%2C%20usually%20to%20do%20with%20business%20or%20money.",""]	["After%20the%20owner%20had%20shown%20him%20around%20the%20apartment%2C%20Shane%20decided%20it%20was%20just%20what%20he%20wanted%2C%20so%20he%20said%2C%20%22OK%2C%20I%27m%20interested.%20Let%27s%20talk%20turkey.%22","I%20started%20to%20say%20something%20about%20the%20deal%2C%20but%20Mr%20Hamilton%20said%2C%20%22Not%20now%2C%20my%20boy.%20We%20never%20talk%20turkey%20at%20the%20dinner%20table.%22"]				animals,food,money,t	talk turkey
Tea leaf	["Cockney%20rhyming%20slang%20for%20thief."]	["Just%20be%20careful%20to%20keep%20your%20purse%20safe%20when%20you%20go%20down%20to%20the%20market%20-%20there%20are%20plenty%20of%20tea%20leaves%20ready%20to%20steal%20it."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/tea-leaf.mp3	crime,drink,cockney_rhyming_slang	tea leaf
teething problems | teething troubles	["If%20someone%20or%20something%20is%20having%20teething%20problems%2C%20or%20teething%20troubles%2C%20they%27re%20having%20problems%20during%20the%20early%20stages%20of%20something.",""]	["The%20government%20had%20a%20few%20teething%20problems%20early%20in%20its%20term%2C%20but%20most%20people%20think%20they%20did%20a%20good%20job%20overall.","We%27re%20still%20having%20a%20few%20teething%20troubles%2C%20but%20when%20everyone%20adjusts%20to%20their%20roles%2C%20everything%20should%20be%20fine."]	Related to the fact that babies go through a painful stage early in life called "teething", during which their first teeth are growing.			body,health,t	teething problems,teething troubles
tell (things) apart	["If%20you%20can%20tell%20things%20apart%2C%20you%20can%20see%20they%27re%20not%20the%20same%20by%20spotting%20the%20differences%20between%20them.",""]	["I%20couldn%27t%20tell%20the%20twins%20apart%20when%20they%20were%20babies%2C%20but%20I%20can%20tell%20them%20apart%20now.","I%27ve%20heard%20all%20three%20recordings%20of%20the%20song%2C%20and%20I%20can%27t%20tell%20them%20apart.%20They%20all%20sound%20the%20same%20to%20me."]				t	tell (things) apart
test the waters	["If%20you%20test%20the%20waters%2C%20you%20try%20something%20first%20before%20deciding%20whether%20to%20get%20involved%20in%20it.",""]	["You%20should%20go%20to%20a%20couple%20of%20classes%20to%20test%20the%20waters%20before%20you%20decide%20whether%20to%20take%20the%20course.","Bob%20is%20very%20cautious%20about%20committing%20to%20anything%2C%20and%20always%20tests%20the%20waters%20before%20making%20a%20decision."]				t	test the waters
That Friday feeling	["Anticipation%20of%20the%20weekend%20after%20a%20hard%20working%20week."]	["I%27m%20ready%20for%20a%20few%20jars%20at%20the%20pub%20after%20work%20-%20I%27ve%20got%20that%20friday%20feeling."]	20th century origin, although the similar 'Friday face' is known in England since the 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/that-friday-feeling.mp3	date,emotion,work	that friday feeling
